session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
FRAD - Colliders and other Particle and Nuclear Physics Accelerators (contributed),FRAD02,"Design of ring electron cooler1155Electron cooling at high energy requires large average current in the cooling section (CS), which can be achieved by reusing the same electron beam on many passes through the C",,,,,False,https://meow.elettra.eu/97/pdf/FRAD02.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-FRAD02,
FRAD - Colliders and other Particle and Nuclear Physics Accelerators (contributed),FRAD03,"Crabbing schemes for the Electron-Ion Collider1159The Electron-Ion Collider (EIC), to be constructed at Brookhaven National Laboratory, will collide polarized high-energy electron beams with polarized proton and ion beams, achieving luminosities of up to 1 × 10^34 cm^−2 s^−1 in the center-of-mass energy range of 20-140 Ge",,,,,False,https://meow.elettra.eu/97/pdf/FRAD03.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-FRAD03,
